ThunderInJakarta
DomesticFlightFromJakarta
WashingPowderAdvert
ChildrenLearningTheAlphabet
JakartaTrafficJam
GiftSellersAtBorobudur
GiftSellersAtBorobudurNo.2
KelompokBorobudur
KordenMerchantNo.2InJakarta
KostiJayaTaxi
MessageFromMbakKayim
SarongAdvert
TukangLontongSayurInJakarta
BlokMConstructionSite
JakartaTaxiRide
BaliHospital
GekoInBali
BalineseCleansingCeremonyNo.2
HelloTuan
BaliBombCall
GrizzlingChildLedHome
KueSellerInJakarta
ScrapMetalAndUsedPaperCollectorInJakarta
SayurSellerInJakarta
TempeAndTahuSellersInJakarta
PutriSolo
JakartaWedding_542
LasManInJakarta
RotiSellerInJakarta
Plane-loadOfTkwArrivingBackInJakarta
BalineseGarden
KordenMerchantInJakarta
BatakSong
BirdMarketDenpasar
BuskingBandInJimbaranBali
SapuLidiAndTahuSellersInJakarta
SateSellerInJakarta
SapuAndKoranBekasSellersInJakarta
YogyakartaRadioPresenters
SusuMurniSellerInJakarta
WindPickingUp
AnginMalam
BandengPrestoSellerInJakarta
TheLordsPrayerInBahasaIndonesia
ExtractorFanInJakartaLift
ChicksInACageInYogya
MinyakSellerInJakarta
JakartaMosqueInJakartaRain
TheSqueakOfAJakartaBecak
BelchingScreamingMassageInJakarta
JamuAd
BelchingSlappingMassageInJakarta
BlokMDaytimeStreetSounds
NeighboursChicksOutsideMyWindow
RindikInJakarta
MopedAndCricketsInSanur
InsectInBali
IwanFalsSongAtKokisBar
CagedPigeonInJakarta
CallToPrayerInJakarta
InflatableToySellerInJakarta
FlightInformationAtSoekarno-hattaAirport
EveningSermon
JakartaTaxiDriver
BalinesePhone-in
BirdInJakarta
PembantusSingingToThemselves
BalineseSongOfMorality
GamelanPractice
RindikPracticeAtGwk
SundayAfternoonInRagunan
BalineseCleansingCeremony
BalineseCleansingCeremonyNo.3
JavaneseMultitrackChildrensSong
JakartaCoughMedicineAdvert
ThunderAndGamelanInSukawati
CockCrowingInJakarta
RotiSellerNo.2InJakarta
JangkrikGenggong
PerformingMonkeyMusicInJakarta
SateSellerNo2InJakarta
DangdutBuskersInJimbaranBali
RainInJakarta
ThunderInJakartaFromUpstairs
KupuKupuYangLucu
SaturdayNightJakartaTv
MeowingMynahBirdInYogya
