S.H.Dudley-31-32
F.ReederShakespeareHenryV
FredricRose-01-10
EmoryB.Randolph-01-10
VrsAcoustics-88651-MattiaBattistini
GeorgeMacFarlaine-01-05
JohnTerrell-01-06
BertLownHisHotelBiltmoreOrchestra-07-11
IndestructibleConcertBand-DancingInTheBarn1909
NationalPromenadeBand-11-20
JimDoherty-TheLittleGreyMother
WilliamH.Thompson-21-27
MonroeSilver-01-02
VrsAcoustic-74288-OttoGoritz
VrsAcoustics-88652-MattiaBattistini
MetropolitanQuartet
StevePorterMasterHoganJohnBeiling
AllForTheLoveOfMike
ImGoingToMakeHayWhileTheSunShinesInVirginia
Doodle-Doo-Doo
MissChappellAndGeorgeM.Stricklett-01-04
VrsAcoustics-85065-PolPlancon
LongAgoInAlcala
MarionEvelynCox-01-03
Carresses_747
WhereTheSuwaneeRiverFlows1907
DownInArkansaw
TheBigRedShawl
ChopinTarantelle
TheyDontComeBetterThanBetty
MySaharaRose
ChopinImpromptus
MySunnyTennessee_287
StravinskyFirebirdSuitenbc
Sibeliusmlisande
TheyBidMeSleep
TrulyShattuck
MaybeShellPhoneMe_571
GoodByeFrance
TheToilsArePitchd
ImGoingToFollowTheBoys_119361
WhoseWhoAreYou
SallyGreen
GeorgeBallard
CryingForYou
VrsAcoustics-74146-BlancheArral
GusHensonOrchestra1942
VrsAcoustics-74217-NicolaZerola
JoeMaxwell-01-07
GilbertSullivanIolanthehighlights
JoeCandullo-11-12
BlueFeather
FrederickHPotter
HeinrichGoldOrchVmiloscCIwszystkoWybaczy-LoveWillForgiveYou
BurtShepard-Smoke1901
CarusowithMischaElman
CharlesDAlmaine
KernShowBoat-AScenarioForOrchestra
StevePorterJohnBeiling
CollectedSongsOfManuelRomainPartEight
JosieSadler
ThePixiesByW.C.Townsend1899
HenryBurr-231-233
SpeedThePlowReelByJohnTaylor1906
VrsAcoustics-88029-AntonioScotti
VrsAcoustics-85122-CharlesDalmores
StellaMayhew-01-10
VrsAcoustics-74064-AliceNielsenFlorencioConstantino
Deel11-1940
LizeByWillF.Denny1901
KissAMiss
AndrewKeefe
ArthurCollinsAndByrenG.Harlan-InMonkeyland1907
DickWhittingtonByPercyClifton1907
VrsAcoustics-85125-PolPlancon
VrsAcoustics-88076-NellieMelba
HenryBurrMargartMayew
JuhoKoskelo-01-06
CassHaganAndHisParkCentralOrch-VarsityDrag
CarusoDeCrescenzolyrMarinier
CarusoDenzalyrDeGiorgi
CarusoEmmyDestinn
Experience_957
CharlesDAlamine-01-10
CharlesDAlamine-11-20
CharlesHart
CalStewartwithBillyMurrayandtheAmericanQuartet
WilliamRedmond
BrahmsVariationsOnAThemeByHaydn
ConwaysBand-16-19
FrankKennedy
FredericRose
KentuckyHome
EsetAMarcsavalMegATisztelendoUrralhungarian
EdisonMinstrelsStevePorterByronGHarlanArthurCollinsBillyMurray
EdisonMixedQuartet-11-20
KedJaBudzeMasiruvac
CollectedWorksOfCharlesDaabPartTwo
CollectedSongsOfGeorgeAlexanderPartTwo
Craving_163
RegentClubOrchVfrankMunn-WhenLoveComesStealing1929
MetropolitanOrch
VrsAcoustics-88490-PasqualeAmato
Tenderly_992
IWonderWhatsBecomeOfSally_941
VrsAcoustics-88021-MarcellaSembrich
HenryClayBamabeeGeorgeFrothinghamHelenaFredricks
HenryStamler-01-04
HenryBurr-151-160
HenryBurr-221-230
HarmonyQuartet-Aka-ColumbiaQuartet-TheDayOfTheGame1909
HarryLauder-81-82
HarryTallywithHaydnQuartet
IreneFranklin-01-04
IllStillBelongToYou1930
VrsAcoustics-88018-MarcellaSembrich
GeorgeAlexander-21-23
IdJustPaintTheLeafOfTheShamrock1920
IfYouCared1908
VrsAcoustics-74391-GiovanniMartinelli
HoffmannQuartet-01-03
george_maxwell_1
GeorgeGrossmith
EnriqueMadrigueraHotelBiltmoreOrch-Loveable1932
CalStewartwithAdaJonesBillyMurrayCompany
JosephSamuels-WitchOfTheWave1921
JaudasSocietyOrchestra-11-20
JaudasSocietyOrchestra-01-10
JaudasSocietyOrchestra-21-30
JaudasSocietyOrchestra-71-80
Gigli_865
GreyGull-01-05
JosephNatus-01-10
LopezAndHamiltonsKingsOfHarmonyOrchestra-01-04
MetropolitanTrio-01-02
MetropolitanMixedChorus-01-06
MauriceJ.Gunsky-01-05
MargaretKeyes-01-04
LingerAwhile_381
LingerAwhile_354
MoonbeamKissHerForMe_332
MotherMachree
Moss-squireCelesteOrchestra-01-03
McguffeysSymphonyRehearsal1909
CarusoGioelyrEsposito
MyLovinMelodyMan
CarusoAlvarez
NationalPromenadeBand-41-50
LeslieHensonMoyaMannering
LenSpencerCompanywithBillyMurry
LenSpencerwithCharlesDAlmaine
LeolaLucey-IMightBeYouronce-in-a-while1920
LeolaLucy-01-05
